model_variant,subordinateCC_r2,subordinateCC_mse,adjEndorse_r2,adjEndorse_mse,log_bf
Flat Prior,0.13573217546472235,0.07118825654791841,0.9869292663806496,0.003237471805918023,-2568.6729236701867
Frequency effect,0.22184961515052534,0.06897404302073726,0.9804633430436719,0.005767170127007967,-3857.3773548381323
Basic-level bias,0.7146361336849257,0.021177383223281037,0.9889362640867788,0.0027908361421134084,-214.90915019114436
Basic-level and Frequency,0.769334162955862,0.017112147740964097,0.9887034421489173,0.0028421480438936652,0
