stim_id,superordinate,np,adj,response,response_hand_lemma
8,animals,tiger,light,colors,color
8,animals,tiger,light,fur colors,fur color
9,vegetables,cucumber,soft,fruits,fruit
9,vegetables,tomato,hard,fruits,fruit
9,vegetables,tomato,soft,fruits,fruit
10,candies,jolly rancher,hard,foods,food
10,candies,jolly rancher,soft,food,food
10,candies,marshmallow,soft,food,food
10,candies,marshmallow,soft,foods,food
10,candies,piece of chocolate,hard,food,food
10,candies,piece of chocolate,hard,other food,food
10,candies,piece of chocolate,soft,food,food
11,floors,carpet,hard,room,room
11,floors,carpet,soft,rooms,room
11,floors,tile,hard,room,room
11,floors,wood,soft,rooms,room
13,materials,cotton,hard,fabrics,fabric
13,materials,cotton,soft,fabric,fabric
13,materials,cotton,soft,fabrics,fabric
13,materials,cotton,soft,items,items
13,materials,cotton,soft,objects,objects
13,materials,wood,hard,items,items
13,materials,wood,hard,objects,objects
13,materials,wood,soft,fabric,fabric
14,furniture,bedboard,hard,beds,beds
14,furniture,bedboard,hard,mattress,mattress
14,furniture,bedboard,hard,mattresses,mattress
14,furniture,bedboard,hard,places to sit,places to sit
14,furniture,bedboard,hard,seats,seats
14,furniture,bedboard,soft,beds,beds
14,furniture,bedboard,soft,mattresses,mattress
14,furniture,bedboard,soft,places to sit,places to sit
14,furniture,blanket,hard,beds,beds
14,furniture,blanket,hard,places to sit,places to sit
14,furniture,blanket,hard,seats,seats
15,animals,penguin,tall,birds,birds
16,buildings,strip mall,short,mall,mall
16,buildings,strip mall,short,malls,mall
16,buildings,strip mall,short,malls.,mall
16,buildings,strip mall,tall,mall,mall
16,buildings,strip mall,tall,mall's,mall
16,buildings,strip mall,tall,malls,mall
17,people,adult,tall,children,kidren
17,people,child,short,child,kid
17,people,child,short,children,kidren
17,people,child,short,kids,kids
17,people,child,tall,child,kid
17,people,child,tall,chijldren,kidren
17,people,child,tall,children,kidren
17,people,child,tall,children.,kidren
17,people,child,tall,childs,kids
17,people,teenager,short,kids,kids
17,people,teenager,tall,children,kidren
18,flowers,pansy,short,plants,plants
18,flowers,pansy,tall,plants,plants
18,flowers,sunflower,short,plants,plants
18,flowers,sunflower,tall,plants,plants
18,flowers,tulip,short,plants,plants
19,people,basketball player,tall,athletes,athletes
19,people,golfer,short,atheletes,athletes
19,people,golfer,short,athletes,athletes
19,people,golfer,tall,athletes,athletes
19,people,jockey,short,athletes,athletes
20,trees,alpine tree,tall,plants,plants
20,trees,bonsai tree,short,plants,plants
20,trees,bonsai tree,tall,plants,plants
20,trees,redwood tree,tall,plants,plants
22,pets,hamster,short,animals,animals
22,pets,hamster,short,rodents,rodents
22,pets,mouse,long,rodents,rodents
22,pets,mouse,short,animals,animals
22,pets,mouse,short,rodents,rodents
22,pets,snake,long,animals,animals
24,vehicles,limousine,long,cars,cars
24,vehicles,limousine,short,car,cars
24,vehicles,limousine,short,cars,cars
24,vehicles,pick-up truck,long,cars,cars
24,vehicles,pick-up truck,long,truck,trucks
24,vehicles,pick-up truck,long,trucks,trucks
24,vehicles,pick-up truck,long,trucks.,trucks
24,vehicles,pick-up truck,short,truck,trucks
24,vehicles,pick-up truck,short,trucks,trucks
24,vehicles,smartcar,long,automobiles,cars
24,vehicles,smartcar,long,car,cars
24,vehicles,smartcar,long,cars,cars
24,vehicles,smartcar,short,cars,cars
25,entertainment,documentary,long,films,films
25,entertainment,documentary,long,movies,movie
25,entertainment,documentary,long,shows,shows
25,entertainment,documentary,short,films,films
25,entertainment,documentary,short,movies,movie
25,entertainment,documentary,short,shows,shows
25,entertainment,movie,short,films,films
25,entertainment,sitcom,long,programs,programs
25,entertainment,sitcom,long,shows,shows
25,entertainment,sitcom,short,movie,movie
25,entertainment,sitcom,short,movies,movie
25,entertainment,sitcom,short,programs,programs
25,entertainment,sitcom,short,shows,shows
25,entertainment,sitcom,short,tv shows,tv shows
26,roads,alley,long,streets,streets
26,roads,alley,short,routes,routes
26,roads,alley,short,streets,streets
26,roads,highway,long,routes,routes
26,roads,highway,short,distance,distance
26,roads,highway,short,distances,distance
26,roads,highway,short,routes,routes
26,roads,street,long,routes,routes
26,roads,street,short,distances,distance
26,roads,street,short,routes,routes
28,audios,opera,long,performances,performances
28,audios,opera,long,songs,songs
