stim_id,superordinate,np,adj,response,response_hand_lemma,label
7,dogs,poodle,dark,coat,coat,supersuper
7,dogs,poodle,dark,coats,coats,supersuper
7,dogs,poodle,dark,colors,color,scale
7,dogs,poodle,dark,dog coats,dog coats,super
7,dogs,poodle,light,coat,coat,supersuper
7,dogs,poodle,light,coats,coats,supersuper
7,dogs,poodle,light,colors,color,scale
7,dogs,poodle,light,dog coats,dog coats,super
7,dogs,poodle,light,fur,fur,supersuper
7,dogs,spaniel,dark,coat,coat,supersuper
7,dogs,spaniel,dark,coat colors,coat color,supersuper
7,dogs,spaniel,dark,coats,coats,supersuper
7,dogs,spaniel,dark,colors,color,scale
7,dogs,spaniel,dark,dog coats,dog coats,super
7,dogs,spaniel,dark,dog's coats,dog coats,super
7,dogs,spaniel,dark,fur,fur,supersuper
7,dogs,spaniel,light,coat colors,coat color,supersuper
7,dogs,spaniel,light,coats,coats,supersuper
7,dogs,spaniel,light,colors,color,supersuper
7,dogs,spaniel,light,dog coats,dog coats,super
7,dogs,spaniel,light,fur,fur,supersuper
8,animals,jaguar,dark,cats,cats,intermediate
8,animals,jaguar,dark,fur,fur,supersuper
8,animals,jaguar,dark,furs,fur,supersuper
8,animals,jaguar,dark,fur colors,fur color,supersuper
8,animals,jaguar,light,cats,cats,intermediate
8,animals,jaguar,light,color,color,scale
8,animals,jaguar,light,colors,color,scale
8,animals,jaguar,light,fur,fur,supersuper
8,animals,jaguar,light,furs,fur,supersuper
8,animals,jaguar,light,fur color,fur color,supersuper
8,animals,jaguar,light,fur colors,fur color,supersuper
8,animals,jaguar,light,fur colours,fur color,supersuper
8,animals,panther,dark,cats,cats,intermediate
8,animals,panther,dark,colors,color,scale
8,animals,panther,dark,fur,fur,supersuper
8,animals,panther,dark,furs,fur,supersuper
8,animals,panther,dark,fur colors,fur color,supersuper
8,animals,panther,light,color,color,scale
8,animals,panther,light,colors,color,scale
8,animals,panther,light,fur,fur,supersuper
8,animals,panther,light,furs,fur,supersuper
8,animals,panther,light,fur colors,fur color,supersuper
8,animals,tiger,dark,fur,fur,supersuper
8,animals,tiger,dark,furs,fur,supersuper
8,animals,tiger,light,color,color,scale
8,animals,tiger,light,colors,color,scale
8,animals,tiger,light,fur colors,fur color,supersuper
9,vegetables,cucumber,soft,fruits,fruit,super
9,vegetables,tomato,hard,fruits,fruit,super
9,vegetables,tomato,soft,fruits,fruit,super
10,candies,jolly rancher,hard,foods,food,supersuper
10,candies,jolly rancher,soft,food,food,supersuper
10,candies,marshmallow,soft,food,food,supersuper
10,candies,marshmallow,soft,foods,food,supersuper
10,candies,piece of chocolate,hard,food,food,supersuper
10,candies,piece of chocolate,hard,other food,food,supersuper
10,candies,piece of chocolate,soft,food,food,supersuper
11,floors,carpet,hard,room,room,diff
11,floors,carpet,soft,rooms,room,diff
11,floors,tile,hard,room,room,diff
11,floors,wood,soft,rooms,room,diff
13,materials,cotton,hard,fabrics,fabric,super
13,materials,cotton,soft,fabric,fabric,super
13,materials,cotton,soft,fabrics,fabric,super
13,materials,cotton,soft,items,items,supersuper
13,materials,cotton,soft,objects,objects,supersuper
13,materials,wood,hard,items,items,supersuper
13,materials,wood,hard,objects,objects,supersuper
13,materials,wood,soft,fabric,fabric,super
14,furniture,bedboard,hard,beds,beds,intermediate
14,furniture,bedboard,hard,mattress,mattress,diff
14,furniture,bedboard,hard,mattresses,mattress,diff
14,furniture,bedboard,hard,places to sit,places to sit,supersuper
14,furniture,bedboard,hard,seats,seats,supersuper
14,furniture,bedboard,soft,beds,beds,diff
14,furniture,bedboard,soft,mattresses,mattress,diff
14,furniture,bedboard,soft,places to sit,places to sit,supersuper
14,furniture,blanket,hard,beds,beds,diff
14,furniture,blanket,hard,places to sit,places to sit,supersuper
14,furniture,blanket,hard,seats,seats,supersuper
15,animals,penguin,tall,birds,birds,intermediate
16,buildings,strip mall,short,mall,mall,intermediate
16,buildings,strip mall,short,malls,mall,intermediate
16,buildings,strip mall,short,malls.,mall,intermediate
16,buildings,strip mall,tall,mall,mall,intermediate
16,buildings,strip mall,tall,mall's,mall,intermediate
16,buildings,strip mall,tall,malls,mall,intermediate
17,people,adult,tall,children,kidren,sub
17,people,child,short,child,kid,sub
17,people,child,short,children,kidren,sub
17,people,child,short,kids,kids,sub
17,people,child,tall,child,kid,sub
17,people,child,tall,chijldren,kidren,sub
17,people,child,tall,children,kidren,sub
17,people,child,tall,children.,kidren,sub
17,people,child,tall,childs,kids,sub
17,people,teenager,short,kids,kids,sub
17,people,teenager,tall,children,kidren,sub
18,flowers,pansy,short,plants,plants,supersuper
18,flowers,pansy,tall,plants,plants,supersuper
18,flowers,sunflower,short,plants,plants,supersuper
18,flowers,sunflower,tall,plants,plants,supersuper
18,flowers,tulip,short,plants,plants,supersuper
19,people,basketball player,tall,athletes,athletes,intermediate
19,people,golfer,short,atheletes,athletes,intermediate
19,people,golfer,short,athletes,athletes,intermediate
19,people,golfer,tall,athletes,athletes,intermediate
19,people,jockey,short,athletes,athletes,intermediate
20,trees,alpine tree,tall,plants,plants,supersuper
20,trees,bonsai tree,short,plants,plants,supersuper
20,trees,bonsai tree,tall,plants,plants,supersuper
20,trees,redwood tree,tall,plants,plants,supersuper
22,pets,hamster,short,animals,animals,supersuper
22,pets,hamster,short,rodents,rodents,diff
22,pets,mouse,long,rodents,rodents,diff
22,pets,mouse,short,animals,animals,supersuper
22,pets,mouse,short,rodents,rodents,diff
22,pets,snake,long,animals,animals,supersuper
23,readings,novel,long,books,books,intermediate
23,readings,novel,short,books,books,intermediate
23,readings,story,long,books,books,intermediate
24,vehicles,limousine,long,cars,cars,intermediate
24,vehicles,limousine,short,car,cars,intermediate
24,vehicles,limousine,short,cars,cars,intermediate
24,vehicles,pick-up truck,long,cars,cars,intermediate
24,vehicles,pick-up truck,long,truck,trucks,intermediate
24,vehicles,pick-up truck,long,trucks,trucks,intermediate
24,vehicles,pick-up truck,long,trucks.,trucks,intermediate
24,vehicles,pick-up truck,short,truck,trucks,intermediate
24,vehicles,pick-up truck,short,trucks,trucks,intermediate
24,vehicles,smartcar,long,automobiles,cars,intermediate
24,vehicles,smartcar,long,car,cars,intermediate
24,vehicles,smartcar,long,cars,cars,intermediate
24,vehicles,smartcar,short,cars,cars,intermediate
25,entertainment,documentary,long,films,films,intermediate
25,entertainment,documentary,long,movies,movie,intermediate
25,entertainment,documentary,long,shows,shows,intermediate
25,entertainment,documentary,short,films,films,intermediate
25,entertainment,documentary,short,movies,movie,intermediate
25,entertainment,documentary,short,shows,shows,intermediate
25,entertainment,movie,short,films,films,intermediate
25,entertainment,sitcom,long,programs,programs,super
25,entertainment,sitcom,long,shows,shows,intermediate
25,entertainment,sitcom,short,movie,movie,intermediate
25,entertainment,sitcom,short,movies,movie,intermediate
25,entertainment,sitcom,short,programs,programs,super
25,entertainment,sitcom,short,shows,shows,intermediate
25,entertainment,sitcom,short,tv shows,tv shows,intermediate
26,roads,alley,long,streets,streets,super
26,roads,alley,short,routes,routes,supersuper
26,roads,alley,short,streets,streets,super
26,roads,highway,long,routes,routes,supersuper
26,roads,highway,short,distance,distance,scale
26,roads,highway,short,distances,distance,scale
26,roads,highway,short,routes,routes,supersuper
26,roads,street,long,routes,routes,supersuper
26,roads,street,short,distances,distance,scale
26,roads,street,short,routes,routes,supersuper
28,audios,opera,long,performances,performances,supersuper
